Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";
"Accessoire musical";;;;;;;;;;"DESC148317";"MT";"";"Standard";"";"";"Musical accessory";"";"-1";
;"Accordeur (accessoire)";;;;;;;;;"DESC819258";"NT";"";"Standard";"";"Test";"";"";"-1";
;"Amplificateur";;;;;;;;;"DESC148318";"NT";"";"Standard";"";"";"Amplifier";"";"-1";
;"Assouplisseur de doigt";;;;;;;;;"DESC138346";"NT";"";"Standard";"";"";"Finger softener";"";"-1";
;"Bâton de mesure";;;;;;;;;"DESC148319";"NT";"";"Standard";"";"";"Baguette (chef d'orchestre);Conductor's baton";"";"-1";
;"Boîtier";;;;;;;;;"DESC148320";"NT";"";"Standard";"";"";"Boîte;Case (boîtier)";"DESC143045";"-1";
;"Bottleneck";;;;;;;;;"DESC982132";"NT";"";"Standard";"";"";"";"";"-1";
;"Capodastre";;;;;;;;;"DESC819255";"NT";"";"Standard";"";"";"";"";"-1";
;"Chirogymnaste";;;;;;;;;"DESC148321";"NT";"";"Standard";"";"";"";"";"-1";
;"Chiroplaste";;;;;;;;;"DESC148322";"NT";"";"Standard";"";"";"Chiroplast";"";"-1";
;"Dactylion";;;;;;;;;"DESC142661";"NT";"";"Standard";"";"";"";"";"-1";
;"Diapason";;;;;;;;;"DESC148324";"NT";"";"Standard";"";"";"Pitch";"";"-1";
;;"Diapason à vent";;;;;;;;"DESC148353";"NT";"";"Standard";"";"";"";"";"-1";
;;"Flûte d'accord";;;;;;;;"DESC148355";"NT";"";"Standard";"";"";"";"";"-1";
;"Ecouvillon";;;;;;;;;"DESC143444";"NT";"";"Standard";"";"";"Brush";"";"-1";
;"Etui";;;;;;;;;"DESC143045";"NT";"";"Standard";"";"";"Case";"DESC148320";"-1";
;;"Etui d'accordéon";;;;;;;;"DESC144929";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui d'alto";;;;;;;;"DESC145666";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de clarinette";;;;;;;;"DESC144960";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de cor";;;;;;;;"DESC144416";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de cornet à pistons";;;;;;;;"DESC143654";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de flûte à bec";;;;;;;;"DESC144949";"NT";"";"Standard";"";"";"Flûte à bec (étui)";"";"-1";
;;"Etui de guitare";;;;;;;;"DESC144379";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de luth";;;;;;;;"DESC144883";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de mandoline";;;;;;;;"DESC148384";"NT";"";"Standard";"";"";"Mandoline (étui)";"";"-1";
;;"Etui de médaille";;;;;;;;"DESC906582";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de saxophone";;;;;;;;"DESC144404";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de théorbe";;;;;;;;"DESC144888";"NT";"";"Standard";"";"";"Chitarrone (étui);Etui de chitarrone;Théorbe (étui)";"";"-1";
;;"Etui de trombone";;;;;;;;"DESC148391";"NT";"";"Standard";"";"";"Trombone (étui)";"";"-1";
;;"Etui de trompette";;;;;;;;"DESC148393";"NT";"";"Standard";"";"";"Trompette (étui)";"";"-1";
