id,parents,labels
DESC148317,,Accessoire musical
DESC819258,DESC148317,Accordeur (accessoire)
DESC148318,DESC148317,Amplificateur
DESC138346,DESC148317,Assouplisseur de doigt
DESC148319,DESC148317,Bâton de mesure
DESC148320,DESC148317,Boîtier
DESC982132,DESC148317,Bottleneck
DESC819255,DESC148317,Capodastre
DESC148321,DESC148317,Chirogymnaste
DESC148322,DESC148317,Chiroplaste
DESC142661,DESC148317,Dactylion
DESC148324,DESC148317,Diapason
DESC148353,DESC148324,Diapason à vent
DESC148355,DESC148324,Flûte d'accord
DESC143444,DESC148317,Ecouvillon
DESC143045,DESC148317,Etui
DESC144929,DESC143045,Etui d'accordéon
DESC145666,DESC143045,Etui d'alto
DESC144960,DESC143045,Etui de clarinette
DESC144416,DESC143045,Etui de cor
DESC143654,DESC143045,Etui de cornet à pistons
DESC144949,DESC143045,Etui de flûte à bec
DESC144379,DESC143045,Etui de guitare
DESC144883,DESC143045,Etui de luth
DESC148384,DESC143045,Etui de mandoline
DESC906582,DESC143045,Etui de médaille
DESC144404,DESC143045,Etui de saxophone
DESC144888,DESC143045,Etui de théorbe
DESC148391,DESC143045,Etui de trombone
DESC148393,DESC143045,Etui de trompette
DESC148394,DESC143045,Etui de tuba
DESC144479,DESC143045,Etui de violon
DESC148397,DESC143045,Etui de violoncelle
DESC148325,DESC148317,Haut-parleur
DESC136927,DESC148317,Klaxon
DESC148326,DESC148317,Maillet
DESC148327,DESC148317,Mentonnière
DESC148328,DESC148317,Métronome
DESC141693,DESC148317,Pique (accessoire)
DESC1101344,DESC141693,Pique de violoncelle
DESC148329,DESC148317,Plectre
DESC146245,DESC148317,Porte-voix
DESC148330,DESC148317,Pupitre
DESC148421,DESC148330,Lutrin
DESC148331,DESC148317,Résonateur
DESC144008,DESC148317,Sourdine
DESC148332,DESC148317,Tabouret
DESC1092754,DESC148317,Vocoder
DESC1160884,,Aire géographique
DESC154021,DESC1160884,Afrique
DESC154025,DESC154021,Afrique australe
DESC150352,DESC154025,Afrique du Sud
DESC1034090,DESC150352,Johannesburg
DESC68484,DESC1034090,Soweto
DESC150353,DESC150352,Le Cap
DESC150355,DESC150352,Pretoria
DESC138069,DESC154025,Botswana
DESC150354,DESC154025,Lesotho
DESC147932,DESC154025,Malawi
DESC147298,DESC154025,Mozambique
DESC138065,DESC154025,Namibie
DESC847200,DESC154025,Zambèze
DESC150359,DESC154025,Zambie
DESC139040,DESC154025,Zimbabwe
DESC154028,DESC154021,Afrique Centrale
DESC149699,DESC154028,Angola
DESC136901,DESC154028,Burundi
DESC150413,DESC154028,Cameroun
